beta,degree,mae_empirical,rmse_empirical,mae_uniform,max_error,c_max,r_c,effective_degree,derivative_discrepancy
1,5,0.7373789077356299,1.8787829998909502,1.6817908945580993,10.65215063350581,0.6931471805599453,133.08425866750952,4,0.0
1,9,4.991618758523989,42.5365186217647,12.587822565099296,158.69225717490698,0.6931471805599453,26303.71230134305,8,0.0
3,5,13.80392311447816,62.881538461582174,61.42339161095188,369.07266691958887,0.5,3.5555555555555554,4,0.0
3,9,12227.68134890686,107819.96221301566,34964.949594673955,420946.07714083267,0.5,8.675865407891552,8,7.105427357601002e-15
5,5,66.39573612844791,299.04644283133956,296.7647159812771,1754.6319723221075,0.6510416666666666,4.696272919560428,4,0.0
5,9,444721.01699240936,3902486.6128945365,1278779.394891804,15302468.644866077,2.0587255084325395,14.850565407836173,8,0.0
10,5,542.2599382781103,2422.387909477061,2423.2294040538004,14209.067593097701,5.208333333333333,75.14036671296685,4,0.0
10,9,57366967.39917405,502329055.3907868,165356930.9130123,1973445925.475381,263.51686507936506,3801.7447444060604,8,0.0
20,5,4363.813512100998,19443.748089960405,19494.75191649849,114040.32729266703,41.666666666666664,1202.2458674074696,4,0.0
20,9,7357327062.051815,64388832484.008026,21220075872.453087,253077464068.7605,33730.15873015873,973246.6545679515,8,0.0
