run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
0,least_squares_d5_I1,589,4,7,0,0.01252629999362398,0.21921919999294914,0.007758200008538552,0.23950369999511167
1,least_squares_d3_I1,411,7,2,1,0.009544200001982972,0.16633660001389217,0.007724099996266887,0.18360490001214202
2,chebyshev_d3_I1,589,4,17,2,0.009363300006953068,0.16725279999081977,0.007793700002366677,0.1844098000001395
3,chebyshev_d5_I1,586,0,10,3,0.012441800005035475,0.21794970000337344,0.007711400001426227,0.23810290000983514
4,least_squares_d5_I1,481,9,7,4,0.012430900009348989,0.21775199999683537,0.007647799997357652,0.237830700003542
5,least_squares_d3_I1,481,9,23,5,0.009335699985967949,0.16714189999038354,0.007654999993974343,0.18413259997032583
6,least_squares_d5_I1,949,1,8,6,0.012486199993873015,0.21882120000373106,0.007793600001605228,0.2391009999992093
7,chebyshev_d3_I1,411,7,13,7,0.00931039999704808,0.1680762999894796,0.007613500012666918,0.1850001999991946
8,least_squares_d5_I2,411,7,25,8,0.012731700000585988,0.21960830000170972,0.008067700007813983,0.2404077000101097
9,least_squares_d5_I1,633,2,25,9,0.012580800001160242,0.21801110000524204,0.007709199999226257,0.23830110000562854
10,least_squares_d5_I2,120,5,7,10,0.012527200000477023,0.2180201000010129,0.007750100005068816,0.23829740000655875
11,least_squares_d3_I1,112,3,23,11,0.009413000007043593,0.16695339999569114,0.007685999997192994,0.18405239999992773
12,chebyshev_d3_I1,411,7,12,12,0.009752099998877384,0.1690046000003349,0.00790880000567995,0.18666550000489224
13,chebyshev_d5_I2,586,0,9,13,0.012392000004183501,0.2191236999933608,0.0077132000005804,0.2392288999981247
14,chebyshev_d5_I1,589,4,18,14,0.012409900009515695,0.21841630000562873,0.007787800001096912,0.23861400001624133
15,least_squares_d5_I1,481,9,8,15,0.012436300006811507,0.21972419999656267,0.007663199998205528,0.2398237000015797
16,least_squares_d5_I2,481,9,6,16,0.012458400000468828,0.21887100000458304,0.007718099994235672,0.23904749999928754
17,least_squares_d3_I1,603,8,28,17,0.009331699999165721,0.1668298999866238,0.00768580001022201,0.18384739999601152
18,chebyshev_d5_I2,949,1,21,18,0.01262109998788219,0.22327230000519194,0.007992099999682978,0.2438854999927571
19,least_squares_d5_I2,259,6,9,19,0.012987499998416752,0.22158060000219848,0.007852900002035312,0.24242100000265054
20,chebyshev_d5_I1,120,5,2,20,0.01262109998788219,0.22130390000529587,0.007768299998133443,0.2416932999913115
21,chebyshev_d5_I1,589,4,5,21,0.012548600003356114,0.22039529999892693,0.007898800002294593,0.24084270000457764
22,least_squares_d5_I1,481,9,24,22,0.012613200000487268,0.22104059999401215,0.007655200010049157,0.24130900000454858
23,chebyshev_d3_I1,603,8,23,23,0.009576199998264201,0.16859360001399182,0.007659399998374283,0.1858292000106303
24,least_squares_d5_I1,603,8,15,24,0.012477900003432296,0.21808449999662116,0.007680700000491925,0.23824310000054538
25,chebyshev_d5_I1,259,6,14,25,0.01258629999938421,0.21875169999839272,0.0077154999889899045,0.23905349998676684
26,chebyshev_d3_I1,603,8,9,26,0.009531200004857965,0.17019180000352208,0.007674499996937811,0.18739750000531785
27,least_squares_d5_I1,481,9,18,27,0.012467900000046939,0.22045490000164136,0.007840899997972883,0.24076369999966118
28,chebyshev_d5_I1,112,3,22,28,0.01272909999534022,0.2224104999913834,0.0077335999958449975,0.24287319998256862
29,chebyshev_d3_I1,603,8,25,29,0.009330799992312677,0.16633910000382457,0.0076788999867858365,0.18334879998292308
30,chebyshev_d5_I2,633,2,17,30,0.012472599992179312,0.2168114000087371,0.007682600000407547,0.23696660000132397
31,least_squares_d5_I1,589,4,17,31,0.012274199994863011,0.21672519999265205,0.007636599999386817,0.23663599998690188
32,least_squares_d5_I2,589,4,8,32,0.012620800000149757,0.217558000003919,0.007656899993889965,0.23783569999795873
33,chebyshev_d3_I1,411,7,18,33,0.009378900009323843,0.165658900004928,0.007629700005054474,0.18266750001930632
34,chebyshev_d5_I2,120,5,26,34,0.012434800009941682,0.21918599998753052,0.00770659999398049,0.2393273999914527
35,chebyshev_d5_I2,633,2,0,35,0.01230319999740459,0.21921609999844804,0.007635200003278442,0.23915449999913108
36,least_squares_d3_I1,589,4,10,36,0.00942879999638535,0.16706300000078045,0.007761100001516752,0.18425289999868255
37,chebyshev_d5_I1,259,6,23,37,0.012418300000717863,0.21755960000155028,0.00767019999329932,0.23764809999556746
38,chebyshev_d3_I1,586,0,21,38,0.009374200002639554,0.16785700000764336,0.007632499997271225,0.18486370000755414
39,chebyshev_d5_I1,411,7,28,39,0.01247450000664685,0.21873219999542926,0.007748200005153194,0.2389549000072293
40,chebyshev_d5_I1,603,8,27,40,0.012352299992926419,0.21804030000930652,0.007778599989251234,0.23817119999148417
41,least_squares_d5_I1,259,6,2,41,0.012674999990849756,0.21784349999506958,0.007767000002786517,0.23828549998870585
42,chebyshev_d5_I2,411,7,27,42,0.012396900012390688,0.22078430000692606,0.007732900005066767,0.24091410002438352
43,least_squares_d5_I1,259,6,17,43,0.012252399988938123,0.219085399992764,0.007707999990088865,0.23904579997179098
44,chebyshev_d5_I2,120,5,22,44,0.012554200002341531,0.21762389999639709,0.0077277000091271475,0.23790580000786576
45,least_squares_d5_I1,112,3,17,45,0.012492800000472926,0.21734319999814034,0.007710799996857531,0.2375467999954708
46,least_squares_d5_I1,589,4,21,46,0.012586799988639541,0.21873839999898337,0.007694899992202409,0.23902009997982532
47,chebyshev_d3_I1,481,9,22,47,0.009518299993942492,0.16673330000776332,0.00766289999592118,0.183914499997627
48,chebyshev_d5_I1,112,3,10,48,0.012690600007772446,0.21898829999554437,0.007680499998969026,0.23935940000228584
49,least_squares_d5_I1,481,9,15,49,0.012514799993368797,0.22038949999841861,0.007720499997958541,0.24062479998974595
50,least_squares_d5_I2,411,7,15,50,0.012335399995208718,0.21805640000093263,0.007699800000409596,0.23809159999655094
51,least_squares_d3_I1,481,9,21,51,0.009443500006454997,0.16579519999504555,0.007683999996515922,0.18292269999801647
52,least_squares_d3_I1,259,6,13,52,0.009354399997391738,0.1664599000068847,0.007807000001776032,0.18362130000605248
53,least_squares_d3_I1,633,2,4,53,0.009425600001122802,0.1655070999986492,0.00771540000278037,0.18264810000255238
54,chebyshev_d5_I1,589,4,3,54,0.012500000011641532,0.21962150000035763,0.007688199999392964,0.23980970001139212
55,least_squares_d3_I1,633,2,0,55,0.00949120000586845,0.1695631000038702,0.007646799989743158,0.1867010999994818
56,chebyshev_d5_I2,411,7,29,56,0.012376500002574176,0.2213418999890564,0.007736600004136562,0.24145499999576714
57,least_squares_d3_I1,589,4,17,57,0.00959570000122767,0.1679052999970736,0.0076625000074272975,0.18516350000572857
58,least_squares_d5_I1,481,9,17,58,0.012441999992006458,0.22010259999660775,0.007724299997789785,0.240268899986404
59,chebyshev_d3_I1,120,5,25,59,0.009367899998323992,0.1661731000058353,0.007630499996594153,0.18317150000075344
60,chebyshev_d3_I1,603,8,13,60,0.009590599991497584,0.1703591000114102,0.007832000002963468,0.18778170000587124
61,least_squares_d3_I1,481,9,26,61,0.009447999997064471,0.16758899998967536,0.007897900009993464,0.1849348999967333
62,least_squares_d5_I2,411,7,13,62,0.012673499993979931,0.22208110000065062,0.0078493999899365,0.24260399998456705
63,least_squares_d5_I2,589,4,10,63,0.012775399998645298,0.2206280000100378,0.00777100000414066,0.24117440001282375
64,least_squares_d3_I1,603,8,5,64,0.00957130000460893,0.17134479999367613,0.007883199999923818,0.18879929999820888
65,least_squares_d5_I1,603,8,1,65,0.012885999996797182,0.22025769999891054,0.0076948000059928745,0.2408385000017006
66,least_squares_d5_I2,603,8,26,66,0.012382000000798143,0.21871060000557918,0.007847800006857142,0.23894040001323447
67,least_squares_d5_I2,603,8,12,67,0.01259820000268519,0.21819090000644792,0.00767100001394283,0.23846010002307594
68,chebyshev_d3_I1,949,1,8,68,0.00948680000146851,0.17279929999494925,0.008266899996669963,0.19055299999308772
69,least_squares_d5_I2,586,0,12,69,0.012640100001590326,0.22349099999701139,0.007768399998894893,0.2438994999974966
70,least_squares_d5_I1,259,6,8,70,0.012771299996529706,0.2222844000061741,0.007832900009816512,0.24288860001252033
71,least_squares_d5_I1,586,0,11,71,0.012497100004111417,0.21947369999543298,0.0076502000010805205,0.23962100000062492
72,chebyshev_d3_I1,120,5,13,72,0.009601899990229867,0.16941040000529028,0.007689500009291805,0.18670180000481196
73,chebyshev_d3_I1,481,9,17,73,0.009338799995020963,0.1677878999907989,0.007712700011325069,0.18483939999714494
74,chebyshev_d5_I2,120,5,24,74,0.012269500002730638,0.22069609999016393,0.007787800001096912,0.24075339999399148
75,least_squares_d5_I2,633,2,0,75,0.012685900001088157,0.2253760999883525,0.007905599995865487,0.24596759998530615
76,chebyshev_d5_I2,589,4,26,76,0.01282540000102017,0.22001489999820478,0.007834399992134422,0.24067469999135938
77,chebyshev_d5_I1,603,8,13,77,0.012651999990339391,0.22160409999196418,0.007816800003638491,0.24207289998594206
78,chebyshev_d5_I2,259,6,20,78,0.012637599997106008,0.21967140000197105,0.00772950000828132,0.24003850000735838
79,chebyshev_d5_I2,259,6,27,79,0.012482899997849017,0.21663969999644905,0.007678299996769056,0.23680089999106713
80,chebyshev_d5_I1,589,4,28,80,0.012435299999197014,0.21694630000274628,0.007857899996452034,0.23723949999839533
81,least_squares_d5_I1,586,0,16,81,0.012722300001769327,0.22344580000208225,0.007935499990708195,0.24410359999455977
82,least_squares_d3_I1,603,8,29,82,0.009615600007236935,0.17264540000178386,0.007732700003543869,0.18999370001256466
83,least_squares_d3_I1,586,0,13,83,0.009493599995039403,0.17615590000059456,0.007685199991101399,0.19333469998673536
84,least_squares_d5_I1,112,3,11,84,0.01241580001078546,0.21832669999275822,0.007745199996861629,0.2384877000004053
