configuration_id,activation,method,degree,effective_degree,interval_name,lower_bound,upper_bound,mae_uniform,rmse_uniform,max_error_uniform,x_at_max_error_uniform,mae_empirical,rmse_empirical,median_abs_error_empirical,p95_abs_error_empirical,p99_abs_error_empirical,max_error_empirical,fraction_outside_interval,mae_inside_interval,mae_outside_interval,outside_error_contribution,mae_origin_uniform,rmse_origin_uniform,max_error_origin_uniform,origin_empirical_sample_count,origin_empirical_fraction,mae_origin_empirical,rmse_origin_empirical,max_error_origin_empirical,bias_ratio,bias_ratio_denominator_clamped,max_abs_output_uniform,max_abs_output_empirical,valid,invalid_reason,practically_viable,practical_viability_reason
act1_chebyshev_d3_I1,act1,chebyshev,3,3,I1,-6.6096,7.235,0.21737111954828264,0.26421977296017574,0.7290393324852943,0.00047304730473030077,0.4161736649344692,0.4685614749266465,0.4560789014671209,0.6808883730671871,0.7120308274889194,2.158622740267732,0.00978,0.4150244908284838,0.5325269556531635,0.01251427965079917,0.6093655476277051,0.6131438350084542,0.7292668744951947,43482,0.43482,0.6248417250690079,0.626902461718499,0.7292275080677361,0.5223086847230228,False,7.420498285201027,10.459381579820777,True,,True,
act1_chebyshev_d3_I2,act1,chebyshev,3,3,I2,-8.4503,8.7557,0.27271013288006424,0.3308119614560759,0.9115974531635688,0.0004116711671162676,0.5588662879274302,0.6170012132703653,0.6409877229213782,0.8609486713551618,0.8944042881413651,0.9117616856624399,0.00083,0.5589903316682736,0.40954004149545425,0.0006082281965903194,0.7908587557651482,0.7938349924597897,0.9118001845520161,43482,0.43482,0.8082170621559885,0.8098244460375033,0.9117616856624399,0.48797026904488494,False,9.006270362474853,9.923414118679531,True,,True,
act1_chebyshev_d5_I1,act1,chebyshev,5,5,I1,-6.6096,7.235,0.10133019565738043,0.12872898569675728,0.4356004614211155,0.00047304730473030077,0.2046989394513584,0.25305143362569477,0.1799268228691,0.39242110872706576,0.42037209883058674,4.900839153868766,0.00978,0.2012359079112533,0.5553291124209812,0.026532226957471688,0.3200792899821182,0.326484224881212,0.4358290641468472,43482,0.43482,0.3344945032351793,0.33794749237221083,0.43578986989377894,0.4950206187143389,False,7.170667497274698,8.176548611105085,True,,True,
act1_chebyshev_d5_I2,act1,chebyshev,5,5,I2,-8.4503,8.7557,0.1281974776426358,0.16198694979026945,0.546532981851478,0.0004116711671162676,0.27493030937301144,0.3219870105756888,0.2889786638470262,0.4963684303972126,0.5294135958572331,0.7887265060534785,0.00083,0.2749318121249762,0.2731212675891578,0.0008245385989488654,0.4290893448945214,0.4341102739522163,0.5467360254685061,43482,0.43482,0.44546222870198776,0.4481459815665197,0.5466975855760701,0.46629081360652747,False,8.66142636569298,9.075883500727135,True,,True,
act1_chebyshev_d7_I1,act1,chebyshev,7,7,I1,-6.6096,7.235,0.059588279992170874,0.07912218771218012,0.30989481466042196,0.00047304730473030077,0.13336442464991372,0.26069733584346977,0.0947169943289593,0.26942578860808264,0.29890988158321374,16.089157804786097,0.00978,0.12522158385448934,0.957822892180088,0.07023993025209907,0.19838534281104578,0.2075236847810406,0.3101240283061875,43482,0.43482,0.21166445798503686,0.21654613834773484,0.3100849340392722,0.4468079110946731,False,7.264142030256052,16.089157804786097,True,,True,
act1_chebyshev_d7_I2,act1,chebyshev,7,7,I2,-8.4503,8.7557,0.07608385009640903,0.10005025648090922,0.3900780535293433,0.0004116711671162676,0.1730778850082478,0.2070929796672585,0.1448365515108739,0.3403409799767728,0.3730161783274239,1.1468975677735491,0.00083,0.17298876160149215,0.2803663601022478,0.0013445049832552349,0.2758049088986878,0.28293412063346496,0.39028123622935945,43482,0.43482,0.29117970362104806,0.29495532905737826,0.39024282337857796,0.43959313515290155,False,8.80319442502681,9.801115661071172,True,,True,
act1_chebyshev_d9_I1,act1,chebyshev,9,9,I1,-6.6096,7.235,0.03953112659509195,0.0547109824129008,0.24011470972453994,0.00047304730473030077,0.10890902706596922,0.703856993758682,0.07447466240162015,0.2000510688261618,0.2321187217827312,62.87213552109228,0.00978,0.08768072649805653,2.258263606652731,0.20279143674367522,0.13256210988464828,0.1445088463563456,0.24034442556824198,43482,0.43482,0.14469988309696905,0.15104335446646266,0.24030541384072157,0.3629738292597807,False,7.22015406431429,62.87213552109228,True,,True,
act1_chebyshev_d9_I2,act1,chebyshev,9,9,I2,-8.4503,8.7557,0.050955819663548264,0.06950065095285488,0.3031601113103899,0.0004116711671162676,0.12211510966581218,0.1486299767213978,0.0978036592501963,0.2538324992266904,0.2861505751544875,1.9858099408556404,0.00083,0.12191204094115811,0.3665731549821969,0.0024915485026207533,0.19200720264619645,0.20129889662798156,0.30336337790976725,43482,0.43482,0.20638608147881915,0.21126872806229552,0.30332498191639956,0.4172769430662359,False,8.727876661915532,8.982743692327437,True,,True,
act1_least_squares_d3_I1,act1,least_squares,3,3,I1,-6.6096,7.235,0.20963164410611135,0.24753163796168542,0.6441385729852751,0.00047304730473030077,0.35655794898766796,0.40836526119959243,0.37219176231822787,0.6026163737353811,0.6346200797694129,2.8514924037819425,0.00978,0.35195900165188043,0.8221990155360877,0.02255203227069564,0.5250028940671263,0.5293302781773868,0.6443652031229885,43482,0.43482,0.5400425876557239,0.542402604832585,0.644325690737597,0.5879314840723456,False,7.6021439661351415,10.777805602970963,True,,True,
act1_least_squares_d3_I2,act1,least_squares,3,3,I2,-8.4503,8.7557,0.26338136382664035,0.31002758676047476,0.8061217824662328,0.0004116711671162676,0.4773480249748342,0.5308178187595912,0.5367155292050807,0.7554466743850125,0.7889076901499031,1.1846537824843975,0.00083,0.4771492045245743,0.7166919156811637,0.001246164766360407,0.6858094254257037,0.6892035970009688,0.8063241938713939,43482,0.43482,0.7029221068148491,0.704752794950093,0.8062856362086,0.5517596178187305,False,9.260840115620722,10.231728160926885,True,,True,
act1_least_squares_d5_I1,act1,least_squares,5,5,I1,-6.6096,7.235,0.10024041876224639,0.12302532851504921,0.40092086175543135,0.00047304730473030077,0.18770930291712684,0.2483132721942347,0.14726436847691365,0.3599855220192183,0.3939809932537739,6.780453965863024,0.00978,0.1809834254143572,0.8687009614848755,0.04526091819260017,0.28608381468379557,0.29310972565348714,0.40114891368326033,43482,0.43482,0.3001189919454886,0.3039049763910234,0.4011096314478935,0.534019450311966,False,7.075555564780573,7.7673797089348025,True,,True,
act1_least_squares_d5_I2,act1,least_squares,5,5,I2,-8.4503,8.7557,0.12710783364594044,0.15486944057913687,0.5034344486733101,0.0004116711671162676,0.24766808991388858,0.29022839603577544,0.2476793807314408,0.4532868908325965,0.48630577966292066,1.2600693524161428,0.00083,0.24744823983616046,0.5123278515568206,0.0017169434986154637,0.38653016889497577,0.392019621660758,0.5036372906284841,43482,0.43482,0.40265938471608775,0.40558901493328037,0.5035988138162357,0.5132184517195348,False,8.515426659668764,8.81824332502296,True,,True,
act1_least_squares_d7_I1,act1,least_squares,7,7,I1,-6.6096,7.235,0.05978735500211439,0.07644678943518084,0.291178508747504,0.00047304730473030077,0.1291468027777225,0.33957297772215406,0.0911740727577961,0.25070508729667684,0.28572832526351005,22.816310471976976,0.00978,0.11589209441311082,1.4711792482588861,0.11140913083799409,0.18042142957695348,0.19022522327551097,0.2914073460516006,43482,0.43482,0.19334966615374302,0.1985857208533323,0.2913681918145313,0.4629410385405806,False,7.318785913794642,22.816310471976976,True,,True,
act1_least_squares_d7_I2,act1,least_squares,7,7,I2,-8.4503,8.7557,0.0765814765510214,0.09670416071474344,0.3668041372919696,0.0004116711671162676,0.16000372498671595,0.1919074333804794,0.12363232921664968,0.3171043667908131,0.3497384132799387,1.8632215695073318,0.00083,0.15970140602501845,0.5239411189135867,0.0027178812789163593,0.25312238714396945,0.26075104857309606,0.3670071733539531,43482,0.43482,0.26825509986999485,0.2722893167236485,0.36696873374657263,0.4786230855399114,False,8.897580134268123,10.076690047174317,True,,True,
act1_least_squares_d9_I1,act1,least_squares,9,9,I1,-6.6096,7.235,0.039993983610736875,0.05322019510187479,0.22844633619387758,0.00047304730473030077,0.11478692155492867,1.0218752287263089,0.0692523421412683,0.18840010322479422,0.22415133123589995,90.39439662136,0.00978,0.08222058811633215,3.4121115327581033,0.2907164887630999,0.12168274566904733,0.13432005606971759,0.22867578201526645,43482,0.43482,0.13349004238217968,0.14020369375352065,0.2286367273886929,0.3484193414107605,False,7.187779884131275,90.39439662136,True,,True,
act1_least_squares_d9_I2,act1,least_squares,9,9,I2,-8.4503,8.7557,0.05176777959516713,0.06763126839155177,0.2886368595220168,0.0004116711671162676,0.11492141217037442,0.1413709279612897,0.09668501042193345,0.23935840333502853,0.2716266539775806,3.2556669961084874,0.00083,0.1144600365760246,0.6703342466360499,0.004841373023532597,0.17810342863684075,0.18791535688231595,0.2888400117259597,43482,0.43482,0.19224245735794762,0.1973925158153597,0.28880159493122337,0.450462438787472,False,8.662534223560758,8.755730104911443,True,,True,
act1_taylor_d3_I1,act1,taylor,3,2,I1,-6.6096,7.235,0.968083313545827,1.3073435322323037,3.618800305559941,7.235,0.5682157765553628,0.7771883260953377,0.5068371793935,1.2355289265010772,3.254370663300643,7.420502797558416,0.00978,0.5317055737950762,4.264855140286558,0.07340571133884839,0.5785117951276614,0.5819556555953009,0.6931471805599453,43482,0.43482,0.5947892852489582,0.5966388032489954,0.6931092525634833,1.7037248057675216,False,10.853800305559941,16.530276975050516,True,,True,
act1_taylor_d3_I2,act1,taylor,3,2,I2,-8.4503,8.7557,1.6288530938389811,2.2781207596352546,5.898082491809941,8.7557,0.5682157765553628,0.7771883260953377,0.5068371793935,1.2355289265010772,3.254370663300643,7.420502797558416,0.00083,0.5634541125702758,6.300398672916155,0.00920307234378752,0.5785117951276614,0.5819556555953009,0.6931471805599453,43482,0.43482,0.5947892852489582,0.5966388032489954,0.6931092525634833,2.866610117222392,False,14.65378249180994,16.530276975050516,True,,True,
