configuration_id,polynomial_id,activation,method,degree,interval_name,strategy,n_samples,mae_ckks,rmse_ckks,max_error_ckks,p95_error_ckks,p99_error_ckks,non_finite_count,levels_consumed,final_mod_level,final_scale_bits
chebyshev_d3_I1,act1_chebyshev_d3_I1,act1,chebyshev,3,I1,horner,200,3.003842425438885e-06,6.874062329139328e-06,4.654718370211697e-05,1.3278129080962455e-05,2.886908487726098e-05,0,3,3,40.0
chebyshev_d3_I1,act2_chebyshev_d3_I1,act2,chebyshev,3,I1,horner,200,4.075767126116847e-06,8.50248610577065e-06,5.172511256645862e-05,1.4871719562883894e-05,4.190027921222136e-05,0,3,3,40.0
chebyshev_d3_I1,act3_chebyshev_d3_I1,act3,chebyshev,3,I1,horner,200,6.810107303719115e-06,1.147379056300266e-05,4.453112250324409e-05,2.8871325264567808e-05,4.0203310052131506e-05,0,3,3,40.0
least_squares_d3_I1,act1_least_squares_d3_I1,act1,least_squares,3,I1,horner,200,3.1500610614666747e-06,7.343321922215126e-06,5.198823010665876e-05,1.486235457461292e-05,2.9679068751775562e-05,0,3,3,40.0
least_squares_d3_I1,act2_least_squares_d3_I1,act2,least_squares,3,I1,horner,200,4.404565635956204e-06,9.428620120012784e-06,5.6518793140725165e-05,1.7647113599716892e-05,4.64308095596699e-05,0,3,3,40.0
least_squares_d3_I1,act3_least_squares_d3_I1,act3,least_squares,3,I1,horner,200,6.975565050008903e-06,1.2243743953110316e-05,5.2022353930425425e-05,3.0294673285169436e-05,4.647513684334468e-05,0,3,3,40.0
chebyshev_d5_I1,act1_chebyshev_d5_I1,act1,chebyshev,5,I1,horner,200,5.509389689058452e-06,2.0850598662371997e-05,0.0002486407517139355,2.048893298876031e-05,8.005199992456181e-05,0,5,5,40.0
chebyshev_d5_I2,act1_chebyshev_d5_I2,act1,chebyshev,5,I2,horner,200,4.3375465612183196e-06,1.449478843126764e-05,0.00017711946765075481,1.8403340589681617e-05,3.891372451802155e-05,0,5,5,40.0
chebyshev_d5_I1,act2_chebyshev_d5_I1,act2,chebyshev,5,I1,horner,200,5.519311047865724e-05,0.000251521428396171,0.002137564406781367,0.00018013915511064436,0.0015300544569591397,0,5,5,40.0
chebyshev_d5_I2,act2_chebyshev_d5_I2,act2,chebyshev,5,I2,horner,200,5.407013118259807e-05,0.0002876412053581152,0.0032381685069451938,0.0001920580384760088,0.001366094521585122,0,5,5,40.0
chebyshev_d5_I1,act3_chebyshev_d5_I1,act3,chebyshev,5,I1,horner,200,0.00015705745102460034,0.0015664706018510405,0.02186505597578009,0.00011969270852303903,0.002106132381620871,0,5,5,40.0
chebyshev_d5_I2,act3_chebyshev_d5_I2,act3,chebyshev,5,I2,horner,200,6.73349473673851e-05,0.0004703808359215935,0.006404648849913763,0.00018851650030331482,0.0005186722294634874,0,5,5,40.0
least_squares_d5_I1,act1_least_squares_d5_I1,act1,least_squares,5,I1,horner,200,5.721291627622388e-06,2.0278384178426374e-05,0.0002108250532915079,2.5286042520988824e-05,5.56536569555002e-05,0,5,5,40.0
least_squares_d5_I2,act1_least_squares_d5_I2,act1,least_squares,5,I2,horner,200,4.285885229815822e-06,1.1565948847700486e-05,0.00011774360232053027,1.6745608179902157e-05,4.412593698286388e-05,0,5,5,40.0
least_squares_d5_I1,act2_least_squares_d5_I1,act2,least_squares,5,I1,horner,200,4.2749808411307046e-05,0.00022394409565380693,0.002515006758459004,0.00012176581943468796,0.001052630476101041,0,5,5,40.0
least_squares_d5_I2,act2_least_squares_d5_I2,act2,least_squares,5,I2,horner,200,1.943120884447591e-05,6.654526375171987e-05,0.0006802105141975323,9.870827147690198e-05,0.00023691228911013583,0,5,5,40.0
least_squares_d5_I1,act3_least_squares_d5_I1,act3,least_squares,5,I1,horner,200,9.443119806896077e-05,0.0005933329866646938,0.006969109671655316,0.00014999165600722,0.0013629071181445044,0,5,5,40.0
least_squares_d5_I2,act3_least_squares_d5_I2,act3,least_squares,5,I2,horner,200,8.788743107616154e-05,0.0005181717362845282,0.005732777392300492,0.0001746345788366632,0.0026595143751772547,0,5,5,40.0
